F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
2,-34.35,1.26,257.04,-10.02,-9.78,-7.66,16.3,2.02,1.56,-11.16,49,-40.53,10.3,-5.53,False
20,-27.72,14.7,614.04,-8.13,-5.62,-28.66,27.04,29.2,-8.16,-6.3,300,-9.53,-1.38,-3.66,False
2,-37.29,1.98,188.04,-10.12,-8.51,-5.66,16.52,2.28,-0.18,-12.27,58,-52.53,7.56,,True
2,-40.83,0.86,287.04,-10.43,-10.27,-5.66,16.5,3.12,-1.44,-12.48,36,-68.53,7.78,,False
20,-25.41,10.7,629.04,-7.1,-5.68,-28.66,26.24,30.7,-3.33,-8.46,365,25.47,1.88,-5.09,False
2,-34.8,2.04,206.04,-11.12,-8.97,-5.66,15.66,2.82,-0.45,-19.14,19,-55.53,8.4,,True
2,-34.41,0.86,236.04,-11.63,-9.05,-7.66,15.96,2.7,1.65,-12.24,75,-45.53,9.72,-5.43,False
20,-20.37,20.1,299.04,-6.45,-4.35,-18.66,26.44,12,-15.78,-9.48,65,-114.53,-1.2,,True
20,-23.4,14.6,359.04,-6.55,-4.8,-8.66,25.14,13.1,-13.83,-13.29,90,-79.53,0.68,-4.55,False
20,-26.67,15.9,359.04,-5.79,-4.8,-28.66,28.34,20.9,-11.31,-8.16,280,-44.53,-0.18,-7.09,True
20,-24.51,12.3,434.04,-6.92,-10.12,-28.66,25.04,10.1,-6.93,-8.4,270,-39.53,5.62,,False
20,-32.64,12.8,569.04,-6.2,-7.39,-28.66,27.44,29.7,-6.72,-11.94,235,5.47,0.2,-5.99,False
20,-24.63,14.5,464.04,-5.25,-4.23,-8.66,29.24,14.7,-14.97,-15,220,-139.53,-2.6,-4.73,False
20,-24.09,14.5,749.04,-6.61,-5.51,-8.66,26.94,20.3,-11.52,-15.03,50,-129.53,7.58,,False
2,-36.39,1.8,161.04,-11.51,-9.86,-5.66,15.58,2.64,-1.74,-15.39,35,-75.53,7,-5.87,True
2,-33.99,1.58,203.04,-11.54,-8.66,-7.66,15.88,3.14,2.4,-15.39,30,-44.53,12.14,-6.84,True
2,-43.95,0.42,248.04,-10.21,-8.8,-3.66,16.34,2.6,-1.23,-10.38,2,-67.53,11,,False
2,-38.1,1.22,188.04,-12.48,-9.22,-5.66,15.06,2.96,1.74,-12.36,9,-58.53,8.1,,False
20,-21.72,12.2,314.04,-5.97,-6.21,-28.66,30.74,15.6,-13.77,-7.17,240,-24.53,5.42,,True
2,-42,1.9,269.04,-12.31,-9.02,-5.66,16.04,2.12,11.04,-10.74,18,-62.53,7.26,,False
2,-41.88,0.54,203.04,-11.7,-9.29,-5.66,16.3,3.32,4.05,-12.63,70,-46.53,11.98,,False
2,-36.03,1.96,173.04,-10.04,-10.53,-7.66,16.1,0.66,3.27,-14.16,50,-44.53,6.78,,True
20,-25.59,17.7,824.04,-7.13,-6.29,-8.66,24.74,28.4,-8.97,-14.43,340,-154.53,7.62,-5.04,False
2,-35.61,1.22,242.04,-10.43,-8.77,-5.66,16.72,4.36,-2.13,-12,60,-70.53,9.48,-6.45,True
20,-24.63,14.3,779.04,-6.82,-5.69,-23.66,27.14,29.5,-10.65,-6.9,315,-54.53,-0.48,,False
20,-23.52,14.1,824.04,-7.08,-4.71,-13.66,28.24,25.6,-10.71,-6.93,185,-54.53,-0.52,,False
2,-33.6,0.88,188.04,-11.61,-9.14,-5.66,16.72,1.46,-0.84,-12.84,28,-65.53,6.5,,True
2,-35.13,0.8,167.04,-12.58,-9.39,-5.66,15.4,3.82,-0.39,-9.93,2,-64.53,8.78,,False
20,-24.3,17.2,269.04,-5.79,-4.35,-18.66,25.74,10.5,-15.78,-11.31,255,-79.53,-1.28,-5.62,False
20,-21.03,19,164.04,-8.19,-4.57,-28.66,26.44,23.3,-10.83,-8.34,320,-44.53,-1.56,,True
2,-34.74,1.72,197.04,-10.21,-11.6,-7.66,15.98,4.14,-0.03,-11.34,8,-49.53,12.7,,True
0,-34.02,0.26,206.04,-10.19,-9.34,-5.66,16.82,0.36,-2.4,-18.3,23,-41.53,9.04,-5.28,True
20,-29.25,15.9,614.04,-6.55,-4.87,-28.66,27.94,12.6,-14.55,-6.39,85,-24.53,1.86,-5.76,False
20,-18.78,13.1,629.04,-6.15,-4,-18.66,34.54,16.5,-11.22,-13.02,215,-69.53,-0.34,-6.6,True
2,-34.68,1.68,191.04,-10.26,-9.95,-5.66,15.62,3.3,2.52,-11.37,37,-42.53,7.16,-7.17,True
20,-23.46,20.1,719.04,-6.67,-5.78,-18.66,25.74,13.6,-13.62,-11.25,300,-89.53,-1.56,,False
20,-21.69,14.6,644.04,-10.39,-4.1,-8.66,30.94,17.2,-13.23,-12.21,335,-94.53,-1.74,,False
20,-23.97,12.6,239.04,-7.47,-6.67,-18.66,25.24,24.9,-12.33,-7.95,10,-119.53,-0.56,-5.61,False
20,-24.6,15.9,839.04,-7.7,-5.64,-18.66,26.24,11.1,-7.17,-10.89,80,-84.53,0.24,,False
20,-22.68,11.4,554.04,-6.17,-3.96,-18.66,31.14,22.4,-12.06,-10.41,190,-129.53,-1.9,,True
20,-22.74,18.6,614.04,-6.79,-4.94,-18.66,26.44,10.1,-6.96,-10.95,120,-119.53,-1.62,,False
2,-37.32,0.3,188.04,-11.74,-9.66,-5.66,16.48,1.18,-1.92,-11.4,33,-43.53,7.26,,False
20,-23.34,17.9,644.04,-6.85,-8.33,-18.66,25.94,11.1,-14.22,-9.36,150,-89.53,6.84,-5.03,False
2,-41.91,0.56,233.04,-11.2,-9.22,-5.66,15.18,2.8,-0.84,-12.57,11,-40.53,8.76,,False
20,-22.11,12.4,794.04,-6.1,-4.51,-28.66,30.54,18.6,-14.76,-6.21,240,40.47,-1.16,-4.67,False
2,-36.96,0.92,215.04,-12.19,-10.79,-7.66,14.98,2.98,2.07,-11.67,7,-56.53,14.08,,False
2,-43.74,1.06,182.04,-11.11,-11.28,-5.66,16.66,2.78,2.04,-11.79,3,-44.53,6.52,-7.22,True
2,-38.76,0.92,290.04,-10.66,-9.45,-5.66,15.32,3.58,0.69,-12.21,4,-52.53,8.34,-4.63,False
2,-41.13,0.32,215.04,-10.73,-9.33,-5.66,15.5,3.2,1.02,-14.31,11,-74.53,10.94,,False
2,-40.83,1.86,290.04,-10.37,-8.69,-6.66,16.32,3.02,1.2,-11.79,28,-59.53,11.86,,True
2,-35.22,0.72,194.04,-10.73,-9.17,-5.66,15.24,3.54,0.63,-11.28,2,-55.53,9.2,-5.85,False
20,-32.46,10.7,494.04,-8.01,-5.74,-8.66,26.74,17.6,-4.11,-19.8,195,-124.53,3.58,,False
2,-35.34,1.74,299.04,-10.35,-8.62,-7.66,16.46,3.04,0.57,-13.74,51,-49.53,8.58,,True
2,-36.81,0.1,209.04,-11.11,-9.34,-5.66,16.3,2.8,0.84,-11.1,54,-56.53,7.74,-5.3,False
2,-34.23,1.82,176.04,-10.2,-10.74,-5.66,15.34,2.84,4.68,-18.06,20,-79.53,8,-5.04,False
20,-27.3,18.9,599.04,-5.69,-5.2,-8.66,27.74,18.8,-14.1,-12.51,220,-124.53,0.32,-6.1,False
20,-18.9,17.6,584.04,-7.02,-6.72,-8.66,29.94,22.8,-16.89,-13.29,275,-69.53,-1.72,-6.45,True
20,-26.16,10.6,344.04,-7.58,-7.92,-28.66,25.04,15.7,-10.83,-11.97,30,-4.53,2.1,-5.04,False
2,-40.65,0.78,254.04,-10.26,-11.11,-7.66,15.7,2.46,-0.36,-10.11,44,-53.53,10.92,,False
20,-24.09,13.2,689.04,-5.84,-7.19,-8.66,29.34,17.8,-14.97,-7.17,15,-124.53,3.6,,False
20,-26.58,14,794.04,-7.08,-6.97,-8.66,25.94,13.9,0.09,-10.83,105,-79.53,2.5,-4.95,False
20,-20.85,19,644.04,-7.21,-6.56,-8.66,26.44,14.3,-15.09,-11.67,35,-124.53,1.68,-6,False
20,-20.22,10.2,299.04,-8.61,-3.83,-18.66,30.94,21,-14.82,-6.72,150,-94.53,1.86,,True
20,-17.61,13.1,224.04,-6.19,-3.72,-8.66,33.54,14.8,-18.39,-11.7,265,-99.53,-1.58,,True
20,-18.48,16.4,299.04,-5.36,-3.65,-18.66,32.04,13.6,-14.01,-11.46,250,-69.53,-0.42,,True
20,-26.49,13.7,464.04,-7.13,-7.8,-18.66,26.94,23.2,-14.28,-9.06,55,-79.53,-1.16,,False
2,-38.19,0.5,182.04,-12.01,-10.88,-5.66,16.8,2.38,-1.62,-14.55,26,-50.53,7.42,,True
20,-23.58,17.7,359.04,-6.82,-3.72,-28.66,27.44,14.9,-15.33,-9.15,350,-14.53,-1.56,,True
20,-21.06,14.1,359.04,-7.24,-6.19,-8.66,26.84,28.6,-2.01,-10.14,260,-69.53,-0.34,,False
20,-20.1,14.1,794.04,-6.13,-4.64,-8.66,30.64,23.8,-12.54,-14.7,310,-119.53,-2.42,-5.82,False
2,-37.5,2.14,257.04,-10.85,-9.41,-7.66,15.3,1.26,1.95,-10.5,7,-46.53,8.64,-5.13,True
20,-25.77,17.9,719.04,-6.47,-5.17,-18.66,27.04,28.5,-14.34,-10.5,355,-149.53,-1.76,,False
20,-28.17,15.2,599.04,-5.42,-3.7,-8.66,31.54,17.7,-15.18,-12.66,345,-134.53,-2.34,-5.75,False
20,-19.35,15.6,599.04,-5.21,-3.5,-8.66,31.74,16,-12.18,-17.34,340,-69.53,-0.6,,False
2,-35.55,1.46,194.04,-10.71,-9.98,-5.66,15.68,2.78,5.34,-10.8,21,-78.53,6.98,-6.21,False
2,-34.35,0.78,179.04,-11.63,-14.66,-7.66,15.76,1.16,-0.63,-14.61,15,-42.53,7.7,-7,True
2,-39.21,1.86,233.04,-10.33,-9.78,-7.66,16.26,2.62,5.19,-11.67,41,-52.53,6.78,,True
20,-27.57,10.5,674.04,-8.08,-6.79,-28.66,25.74,12.9,-6.36,-8.04,95,-14.53,1.94,-4.64,False
20,-19.23,14.3,539.04,-5.52,-3.57,-8.66,33.14,13.2,-16.77,-11.64,200,-84.53,-3.26,,True
2,-37.32,1.5,230.04,-10.02,-8.67,-5.66,16.02,3.76,-1.74,-13.05,19,-64.53,8.54,-6.09,True
2,-34.26,0.62,248.04,-12.03,-9.27,-5.66,16.44,1.4,6.54,-12.51,16,-52.53,7.58,-5.25,False
20,-29.19,11.2,764.04,-8.15,-7.7,-8.66,25.44,15.4,-8.25,-9.69,125,-64.53,5.64,,False
2,-35.82,0.4,173.04,-14.06,-9.15,-7.66,16.58,2.96,-2.04,-9.63,7,-51.53,8.18,-6.95,True
20,-19.89,17.3,224.04,-7.1,-4.19,-8.66,28.04,17.8,-16.38,-13.8,385,-134.53,1.02,,False
2,-33.96,0.72,224.04,-10.36,-11.06,-5.66,16.78,4.02,0.87,-14.94,6,-53.53,8.46,,True
20,-21.99,13.3,359.04,-8.31,-4.64,-18.66,26.04,15.1,-7.29,-6.24,225,30.47,0.06,,False
20,-25.56,12.9,419.04,-5.45,-5.76,-8.66,30.54,20.8,-12.51,-14.82,195,-94.53,-1.58,-6.13,True
2,-37.32,1.24,212.04,-10.2,-10.52,-3.66,16.38,4,-1.56,-11.04,30,-66.53,13.12,,True
20,-21.96,11.9,374.04,-5.55,-4.64,-18.66,31.24,24,-15.66,-20.49,210,-114.53,0.06,-6.87,True
20,-28.89,13.8,764.04,-7.33,-4.6,-18.66,31.54,20.6,-15.21,-10.08,155,-144.53,2.74,,True
2,-36.48,1.22,182.04,-10.58,-9.43,-5.66,16.2,0.4,-1.86,-11.79,26,-60.53,7.22,-6.26,True
2,-34.95,1.08,185.04,-12.1,-9.88,-5.66,16.4,2.94,-2.19,-13.47,55,-49.53,7.34,,True
20,-26.01,19.9,299.04,-5.1,-3.51,-8.66,27.14,28.1,-12.69,-12.18,280,-129.53,-2.3,-6.03,True
10,-23.43,10.4,494.04,-8.62,-5.07,-28.66,29.04,15.8,-16.23,-9,250,-44.53,-1.18,,True
2,-38.28,1.86,290.04,-10.63,-11.19,-5.66,16.62,1.52,-1.65,-12,55,-50.53,14.68,,True
2,-38.7,1.22,224.04,-11.1,-9.6,-7.66,16.38,3.88,-0.81,-9.72,5,-50.53,11.7,-7.23,True
2,-37.8,1.06,248.04,-10.64,-10.21,-7.66,16.4,1.94,-0.93,-15.06,7,-58.53,10.3,,True
2,-34.71,1.68,197.04,-11.56,-9.17,-3.66,16.54,2.68,-1.23,-11.4,66,-73.53,6.7,,True
2,-34.53,1.86,266.04,-10.93,-10.33,-3.66,16.02,2.1,7.02,-14.1,22,-62.53,7.06,-6.39,True
20,-23.37,12,764.04,-6.81,-6.39,-18.66,32.14,13.6,-12.42,-10.44,10,-124.53,0.86,,True
20,-24.87,19,614.04,-5.52,-4.86,-8.66,26.34,26,-13.83,-11.19,205,-89.53,-1.1,,True
20,-23.22,16.7,749.04,-5.33,-5.28,-8.66,29.04,13.1,-13.92,-11.76,65,-89.53,-1.6,,True
2,-35.07,1.3,212.04,-12.13,-11.2,-3.66,16.26,3.82,7.86,-10.98,11,-60.53,12.02,-7.76,True
2,-37.89,1.4,203.04,-10.34,-9.44,-5.66,15.96,0.28,-1.2,-14.4,16,-45.53,7.74,-5.59,False
2,-35.34,0.7,290.04,-13.73,-10.79,-5.66,16.72,1.68,1.59,-10.47,1,-63.53,8.4,-6.06,False
2,-42.84,0.74,218.04,-11.16,-9.7,-5.66,15.78,2.36,-0.69,-12.63,16,-44.53,12.94,-4.47,False
20,-27.96,19.5,809.04,-5.68,-5.8,-8.66,27.04,18.3,-10.92,-18.12,305,-144.53,-1.76,,False
2,-39.72,0.28,182.04,-10.52,-13.13,-5.66,16.74,3.16,1.38,-12.63,24,-69.53,12.64,-5.5,True
20,-26.76,14,659.04,-5.92,-3.98,-18.66,31.84,13.3,-15.69,-12.18,255,-74.53,-3.2,-6.02,True
20,-24.69,12.9,434.04,-6.56,-3.81,-8.66,30.04,22.9,-9.63,-11.34,180,-144.53,-2.06,,True
20,-28.44,14.9,419.04,-7.29,-4.87,-28.66,27.74,13.8,-12.12,-7.32,205,-49.53,-1.22,,True
2,-38.04,0.04,197.04,-10.36,-13.62,-5.66,16.58,2.54,3.63,-11.73,22,-71.53,9.54,,False
20,-23.46,12,854.04,-8.6,-5.48,-18.66,29.44,14.6,-10.47,-10.92,200,-144.53,0.68,-4.21,False
20,-20.52,18.8,704.04,-5.77,-5.41,-8.66,29.24,19.9,-14.19,-11.52,265,-69.53,-2.5,-6.09,True
2,-34.41,1.88,200.04,-11.46,-11.34,-7.66,15.32,0.46,0.87,-10.41,32,-43.53,7.2,,False
2,-37.2,0.24,164.04,-11.14,-10.18,-7.66,16.14,3.8,3.45,-10.95,13,-49.53,7.34,,True
2,-43.11,0.68,299.04,-12.32,-10.06,-5.66,16.02,3.82,2.31,-13.68,59,-51.53,12.4,,False
20,-22.74,13.1,599.04,-5.92,-4.6,-18.66,29.84,11.8,-14.34,-12.06,230,-99.53,-1.6,-4.16,False
2,-38.07,1.5,191.04,-11.2,-9.48,-3.66,15.8,0.88,-1.53,-14.55,3,-72.53,6.8,-6.35,True
20,-23.28,10.6,284.04,-8.41,-7.4,-8.66,28.44,15.6,-13.17,-10.8,120,-129.53,-0.68,,False
20,-24.57,12.6,674.04,-6.03,-4.93,-18.66,28.94,10.6,-13.59,-18.09,130,-134.53,-1.12,-3.37,False
2,-40.11,1.1,188.04,-11.19,-8.82,-5.66,16.18,2.74,-1.92,-12.24,4,-70.53,11.58,,True
20,-23.04,12.8,704.04,-6.02,-6.2,-18.66,28.34,13.4,-9.9,-6.09,110,25.47,-0.6,,False
20,-20.82,18,854.04,-6.26,-5.04,-8.66,30.14,14.3,-16.62,-12.15,305,-99.53,0.86,,False
2,-35.1,0.64,227.04,-13.18,-11,-7.66,16.14,3.32,0.06,-11.16,5,-49.53,11.14,,True
20,-21.03,11.2,449.04,-8.16,-6.11,-18.66,34.94,15.2,-11.1,-12.12,375,-19.53,0.6,-6.34,True
2,-34.89,1.02,158.04,-10.81,-8.8,-7.66,15.18,2.9,1.74,-9.66,4,-50.53,22.98,,True
20,-18.24,14.1,404.04,-5.4,-3.61,-18.66,32.84,17.7,-14.82,-15.63,340,-104.53,1.08,-6.68,True
2,-36.48,1.28,212.04,-10.65,-9.56,-5.66,16.3,0.08,2.79,-13.2,42,-47.53,6.9,,True
2,-39.93,1.46,218.04,-10.2,-13.16,-5.66,16.28,1.38,5.67,-13.35,21,-69.53,12.06,-7.42,True
2,-34.65,0.88,200.04,-9.9,-9.42,-3.66,16.62,2.78,-1.65,-10.53,8,-60.53,7.18,-5.97,True
20,-20.13,11.1,494.04,-5.8,-4.28,-8.66,32.94,14.8,-7.53,-12.39,230,-69.53,-0.54,-5.98,True
2,-38.85,1.76,188.04,-9.82,-9.44,-3.66,16.42,1.14,4.17,-12.36,6,-66.53,14.42,,True
2,-37.89,1.34,206.04,-11.74,-8.85,-3.66,15.94,1.28,-1.89,-13.74,18,-66.53,8.38,,True
2,-34.83,1.84,272.04,-10.85,-8.97,-7.66,15.1,3.78,-0.69,-10.53,40,-49.53,10.86,,False
2,-39.75,1.82,230.04,-9.91,-10.03,-3.66,16.26,2.36,2.67,-10.8,7,-80.53,15.1,,True
20,-20.73,17.2,284.04,-7.64,-4.5,-8.66,25.64,12.4,-8.61,-14.64,225,-149.53,0.94,-4.93,False
2,-36.18,1.12,242.04,-10.87,-9.89,-5.66,16.08,2.82,0.93,-13.14,65,-50.53,7.38,,False
20,-20.94,14.3,599.04,-7.6,-5.11,-18.66,28.94,10,-10.95,-13.56,275,-134.53,-1.16,-4.51,False
20,-19.83,13.4,239.04,-9,-5.31,-18.66,28.94,21,-13.65,-11.1,295,-24.53,-2.18,,True
2,-43.95,0.82,260.04,-12.86,-9.44,-5.66,14.76,2.68,0.27,-20.25,2,-43.53,7.66,-4.8,False
2,-35.85,1.2,272.04,-10.14,-10.29,-7.66,15.98,1.58,2.67,-11.88,11,-56.53,8.4,-5.77,False
20,-20.22,15.3,284.04,-6.44,-5.11,-8.66,30.34,28.6,-16.83,-11.67,240,-119.53,8.2,-7.91,True
20,-20.73,17.7,584.04,-7.22,-4.38,-28.66,27.34,15.5,-12.24,-8.43,335,-9.53,-0.38,-7.83,True
20,-20.07,11.5,329.04,-5.63,-3.74,-8.66,33.94,21.1,-17.28,-11.91,305,-119.53,-1.72,-7.11,True
2,-36.72,1.26,221.04,-10.61,-8.94,-7.66,15.78,0.54,3.69,-11.19,25,-43.53,10.44,-5.01,False
2,-34.26,0.38,236.04,-13.05,-9.09,-5.66,16.48,1.1,1.23,-14.49,29,-55.53,7.4,-5.53,False
20,-22.59,12.8,689.04,-6.82,-5.46,-18.66,29.54,13,-10.89,-14.04,50,-94.53,-1.62,-5.06,True
2,-35.52,0.24,293.04,-11.2,-8.91,-7.66,16.34,3.72,-1.11,-11.88,57,-40.53,8,-5.66,False
2,-48.54,0.58,278.04,-11.8,-12.04,-5.66,14.74,3.82,-0.36,-11.58,17,-40.53,8.02,-5.3,False
20,-18.42,18,464.04,-4.56,-6,-18.66,32.14,17.1,-18.12,-16.38,350,-64.53,-1.3,-6.73,True
2,-37.62,0.94,167.04,-10.27,-10.29,-7.66,15.2,1.64,1.29,-9.36,10,-37.53,13.32,,True
2,-40.5,2,185.04,-11.63,-9.08,-5.66,15.72,2.68,1.32,-13.98,63,-71.53,8.12,-6.64,True
2,-37.05,1.02,236.04,-11.53,-9.26,-5.66,15.9,2.18,-0.96,-15.3,3,-68.53,9.2,,False
20,-21.63,14,734.04,-6.39,-7.62,-18.66,29.34,11.7,-14.07,-22.02,245,-139.53,-1.58,-3.62,False
2,-39.63,1.52,164.04,-10.11,-8.99,-5.66,15.42,1.26,-0.75,-13.68,5,-70.53,10,,False
2,-35.43,1.28,209.04,-10.21,-11.8,-5.66,15.48,3,15.12,-16.14,18,-68.53,8.16,,False
20,-34.02,10.7,764.04,-6.68,-6.37,-8.66,28.24,21.3,-11.25,-6.24,50,-89.53,7.44,-5.19,False
20,-32.43,11.7,224.04,-6.05,-8.18,-8.66,27.44,22.6,-14.7,-14.91,345,-104.53,-1.94,-5.56,False
20,-28.71,10.3,464.04,-8.78,-6.43,-18.66,25.34,27.1,-7.8,-7.8,325,-4.53,1.08,-3.52,False
20,-19.95,18.6,764.04,-6.77,-4.35,-18.66,28.54,15.7,2.73,-12.09,165,-114.53,-2.46,-6.75,True
20,-33.48,14.1,719.04,-7.15,-5.97,-8.66,25.24,14.5,-6.51,-18.6,205,-104.53,2.74,-3.18,False
2,-34.59,1.44,218.04,-10.89,-11.18,-5.66,16.08,2.66,2.07,-11.97,15,-53.53,10.66,,True
2,-39.45,0.7,254.04,-11.06,-9.84,-7.66,16.24,0.02,2.4,-19.56,2,-53.53,8.38,-4.4,False
20,-23.88,10.7,284.04,-8.02,-5.27,-18.66,25.34,13.3,-11.73,-8.43,15,-129.53,0.28,-6.21,False
2,-34.56,1.34,218.04,-10.67,-9.83,-5.66,16.48,1.54,-1.74,-11.19,75,-43.53,7.04,,True
20,-26.49,18.2,734.04,-6.7,-5.35,-18.66,25.34,14.3,-11.37,-13.2,370,-74.53,-0.34,,False
20,-29.01,12.2,809.04,-8.54,-4.43,-8.66,32.34,27.2,-14.64,-8.79,200,-114.53,2.08,,True
2,-41.73,1.22,173.04,-10.57,-8.82,-5.66,15.4,2.34,14.58,-11.52,22,-40.53,9.02,,False
20,-22.92,11.6,389.04,-7.39,-4.5,-8.66,28.54,16.3,-12.18,-11.55,95,-64.53,6.6,,False
2,-37.5,0.9,269.04,-10.47,-9.89,-5.66,15.06,2.98,1.5,-12.15,13,-43.53,9.1,,False
20,-25.32,12.3,854.04,-5.96,-5.16,-28.66,30.04,12.7,-11.22,-9.81,210,35.47,0.26,,False
2,-37.8,1.9,233.04,-12.65,-10.15,-5.66,14.94,2.46,4.59,-11.01,1,-70.53,11.42,,False
2,-38.91,1.3,293.04,-11.03,-11.78,-5.66,16.22,2.14,4.92,-12.63,54,-53.53,10.8,-5.03,False
2,-41.55,0.58,230.04,-11.71,-8.59,-5.66,16.9,1.8,4.8,-11.52,20,-68.53,8.52,,True
20,-26.07,11.8,494.04,-10.03,-8.3,-28.66,24.34,29.7,-8.94,-8.01,205,25.47,4.94,,False
2,-34.32,1.84,269.04,-12.84,-11.58,-5.66,15.88,2.76,5.43,-18.09,9,-76.53,8.36,,False
20,-24.42,18,824.04,-7.58,-5.57,-28.66,25.04,15.9,-12.21,-9.09,205,40.47,2.3,,False
20,-30.18,14.1,659.04,-6.99,-5.9,-28.66,24.84,29.9,-8.28,-8.13,315,5.47,0.66,-4.37,False
20,-26.61,10.2,554.04,-6.88,-4.67,-8.66,30.94,21.1,-10.74,-13.11,345,-149.53,0.44,,False
2,-38.58,1.46,242.04,-10.87,-11.05,-7.66,16.44,0.76,-0.27,-10.17,6,-50.53,10.44,,True
2,-36.99,1.32,215.04,-13.99,-10.89,-7.66,16.22,2.62,0.15,-12.15,66,-47.53,7.82,,True
2,-43.29,1.28,215.04,-12.57,-8.82,-3.66,16.64,1.36,1.53,-18.12,21,-78.53,6.88,-6.59,True
20,-25.98,11.6,584.04,-6.67,-5.29,-8.66,26.64,12.7,-10.83,-10.32,85,-104.53,0.34,-5.37,False
2,-36.75,0.56,272.04,-12.13,-8.71,-7.66,16.66,1.68,-1.68,-11.01,5,-39.53,7.26,-6.5,True
20,-21.24,14.6,329.04,-5.13,-4.55,-8.66,29.04,13.5,-11.37,-12.33,80,-94.53,-1.66,,True
20,-21.42,18.7,434.04,-7.14,-5.59,-18.66,25.44,28.3,-13.02,-6.18,220,-69.53,-1.62,,True
2,-37.86,0.96,185.04,-12.41,-10.12,-5.66,16.22,1.2,0.27,-12.75,15,-41.53,7.2,-7.25,True
20,-27.6,14.8,524.04,-7.12,-5.71,-18.66,24.14,26.3,-7.71,-5.58,185,35.47,2.16,-4.8,False
20,-27.75,15.5,359.04,-5.79,-5.13,-18.66,27.44,15,-14.79,-7.56,300,20.47,-0.7,-6.46,True
20,-22.83,12.5,419.04,-8.04,-4.96,-18.66,26.54,10.9,-13.38,-12.27,100,30.47,0.12,-5.12,False
2,-37.77,1.56,182.04,-11.77,-10.05,-5.66,15.96,1.42,4.35,-10.71,10,-68.53,9.1,,True
20,-29.22,11.4,884.04,-9.09,-5.72,-28.66,27.54,17.3,-9.99,-11.25,375,-39.53,3.14,,False
2,-34.71,1.9,296.04,-10.69,-9.66,-6.66,15.74,3.82,-0.3,-24.09,30,-59.53,7.74,-6.12,False
20,-29.28,11.8,809.04,-6.82,-5.07,-18.66,29.24,10.5,-7.41,-6.27,90,15.47,-0.6,-4.75,False
2,-46.77,0.1,197.04,-10.42,-9.28,-7.66,16.1,1.16,-0.93,-10.11,21,-48.53,10.18,-6.09,False
2,-37.65,1.62,275.04,-10.97,-8.99,-7.66,16.48,3.24,-0.15,-10.89,7,-41.53,7.82,,True
2,-39.3,0.16,176.04,-13,-10.37,-7.66,15.52,4.1,-0.06,-17.7,3,-56.53,7.94,,True
2,-33.93,1.7,215.04,-11.55,-9.71,-3.66,16.4,2.74,4.2,-24.15,11,-75.53,7.3,,True
2,-34.71,1.46,224.04,-11.57,-10.64,-5.66,15.58,1.9,1.5,-10.02,6,-46.53,11.54,,False
20,-19.95,17.7,389.04,-6.42,-6.22,-18.66,27.24,25.8,-15.66,-7.62,210,-134.53,-2.64,-7.56,True
2,-35.34,0.4,275.04,-11.96,-10.08,-7.66,16.1,2.92,-1.26,-12.78,7,-48.53,14,-6.44,True
2,-37.98,2.1,251.04,-12.44,-12.3,-5.66,15.8,3.68,-0.33,-11.34,26,-44.53,10.78,-7.21,True
2,-39.84,1.74,260.04,-14.04,-8.65,-5.66,16.04,1.38,12.96,-10.44,25,-40.53,9.02,,False
