F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,Target
110.74,18,0.6,USA,-6,1314.34,872.56,-9.54,15.76,180.48,-298.74,4.77,20.95,6,Very high,19853.98,1179.69
38.16,9,2.94,USA,-12.93,871.38,1167.82,-12.08,6.52,267.49,-353.79,13.68,21.89,4,High,21053,2226.12
136.99,18,4.02,UK,12.78,1528.36,827.24,-7.94,4.32,308.34,-369.51,4.47,18.71,12,High,11866.74,360
100.45,12,42.72,Rest,0.45,1536.02,1301.62,-8.93,3.34,261.99,-200.61,7.98,22.5,8,Medium,16699.88,0
90.77,12,0.12,Europe,-0.39,1071.18,969.6,-13.6,6.2,298.66,-299.25,18.78,15.77,18,Medium,19820.16,2439.73
100.84,15,1.05,UK,4.62,1553.27,997.36,-14.63,6.74,200.39,-284.76,33.03,14.51,8,Low,24237.58,692.75
120.85,9,4.44,USA,-1.53,1328.07,1512.2,-6.5,3.94,251,-415.98,10.95,21.22,6,Very high,16778.46,1417.98
66.07,6,0.87,Rest,-12.63,948.15,1719.22,-13.49,3.84,218.41,-262.74,15.51,23.67,8,Low,7116.98,91.9
58.27,18,10.14,USA,-12.75,1074.89,1090.04,-13.52,2.58,281.26,-290.85,5.34,19.81,12,Very high,18099.2,221.25
112.53,9,0.24,Europe,-4.11,1272.94,665.92,-11.86,11.4,288.54,-321.99,27.36,24.99,12,Medium,28445.96,2814.04
122.03,0,507.42,USA,-14.97,1805.6,356.94,-11.81,2.38,271.45,-291.63,9,24.81,12,Very low,18481.46,319.32
71.45,12,0,USA,-15.72,825.14,1803.42,-10.07,8.14,280.09,-189.33,2.97,21.4,8,Very low,6092.9,0
69.44,3,0.3,Europe,4.14,1197.8,1076.06,-8.19,5,270.36,-389.82,29.37,24.56,6,Low,26145,2537.01
87.47,12,80.73,Europe,-15.09,1359.38,1065.82,-11.52,9.62,282.07,-464.97,8.49,23.4,2,Medium,12490.84,1187.77
64.07,18,10.38,Europe,13.53,1657.22,611.32,-10.51,8.64,275.9,-305.31,16.23,24,10,Very low,27345.78,0
118.11,18,6.21,USA,-22.41,1630.09,780.24,-6.87,1.6,300.18,-370.35,7.98,19.37,6,Medium,5343.38,0
70.15,15,0,USA,-10.95,1525.29,1240.9,-11.58,1.4,252.86,-408.54,10.41,21.69,4,Very high,21696.66,123.15
99.02,9,1.77,Europe,-0.27,1011.37,606.14,-11.34,15.38,269.15,-424.05,29.13,19.06,8,High,14231.58,2978.27
95.09,12,2.19,UK,1.62,1184.02,438.42,-12.67,13.22,334.31,-449.64,12.03,21.02,10,Low,18428.58,2144.57
114.97,12,4.38,USA,-16.26,1048.23,597,-10.67,2.38,213.91,-272.04,16.56,22.91,0,Very low,16598.76,0
107.56,9,0,USA,-1.26,668.77,689.94,-12.94,7,277.99,-369.93,2.07,25.36,10,High,11530.94,3376.78
72.49,15,7.35,USA,-3.51,1582.94,206.6,-7.04,17.24,286.41,-355.8,10.71,23.08,10,Medium,12797.64,3331.71
70.17,27,0,UK,-17.37,1237.71,1763.94,-12.06,9.68,193.78,-419.04,12.57,23.27,12,Very low,15737.88,145.49
112.02,18,0,UK,-21.72,1258.11,722.3,-12.85,17.04,294.28,-426.72,15.18,15.71,8,Very low,30265.04,1613.6
123.43,9,9.63,USA,-15.45,908.85,1588.7,-7.19,4.88,274.85,-410.34,26.1,21.08,14,Very low,16296.98,3417.85
82.72,12,4.2,Rest,-13.86,1455.44,663.52,-16.42,8.96,262,-413.97,23.25,20.67,8,Very high,16792.74,1274.75
75.82,24,0.03,USA,-0.72,1164.04,1687.5,-12.5,3.84,296.4,-347.94,17.43,18.48,6,Very high,18939.46,45.78
72.47,18,1.44,Europe,-17.58,1294.63,1039.64,-10.95,2.98,204.14,-494.28,18.15,20.55,6,Medium,13570.94,1528.48
137.95,30,84.3,Rest,-11.19,1499.95,1877.44,-15.22,15.04,259.42,-278.07,9.03,18.45,8,Very low,18241.56,0
58.86,6,18.54,Rest,4.5,1461.65,1141.32,-9.5,5.82,267.95,-193.95,5.31,21.4,6,Very low,20055.68,0
85.05,18,3.93,USA,-18.96,553.82,82.48,-9.69,5.1,265.22,-229.56,6.27,19.89,8,Very high,18224.2,1737.77
66.26,15,0.45,USA,-8.22,1461.79,1473.88,-7.54,2.98,269.93,-354.03,6.96,20.33,10,Medium,15648.06,0
124.03,18,0.24,Rest,-7.8,1470.78,1763.44,-12.92,12.04,257.55,-271.41,25.89,25.78,8,Very high,15077.12,330.18
127.51,6,9.12,USA,-12.93,1370.85,1219.36,-9.79,4.92,380.15,-385.26,8.82,19.91,8,Very high,3680.32,2115.33
114.37,9,19.29,Europe,-0.09,1155.81,1748.46,-9.76,9.14,274.79,-315.54,11.49,20.5,4,Very low,724.46,0
52.02,9,78.06,Europe,-4.47,1119.47,1529.12,-13.56,0.84,268.23,-258.18,8.31,14.52,10,High,34342.88,0
83.7,12,394.62,USA,-4.11,1403.58,1877.4,-9.83,0.26,249.63,-386.94,10.44,21.22,6,Low,33872.46,0
77.52,15,0.09,UK,4.98,1288.44,1322.74,-7.61,11.34,185.9,-400.98,9.27,21.78,8,High,12888.56,1082.86
88.76,9,3.63,USA,-10.53,1032.4,1338.56,-8.19,9.66,257.47,-375.6,9.72,15.88,8,Very low,16993.12,1290.43
61.55,6,4.02,UK,-4.62,1033.33,-406.7,-14.81,7.44,342.56,-367.11,21.72,21.94,4,Medium,14289.44,2370.53
49.34,18,0.51,Rest,-13.59,1082.07,1202.1,-10.06,0.8,272.54,-152.97,17.1,21.47,10,Low,17462.38,0
134.97,12,6.57,UK,-2.82,1387.02,611.32,-10.6,14.3,275.12,-324.42,13.14,16.74,16,Medium,17125.14,1886.84
75.53,6,0.24,USA,-22.11,1607.76,1911.82,-15.73,3.58,270.17,-301.77,16.95,21.68,2,Medium,10782.06,0
109.9,12,0.9,Europe,8.61,1567.49,1444.78,-11.55,5,264.9,-295.53,8.94,5.49,10,Very low,11743.2,0
43.61,21,136.86,USA,2.13,1389.88,491.2,-10.89,9.16,250.46,-414.66,3.93,22.25,6,Low,14158.88,274.45
79.42,15,0.03,Europe,5.52,1737.8,246.28,-9.73,15.18,287.35,-376.59,18.12,24.41,4,High,17684.06,2361.22
75.66,21,0,Rest,-0.48,1090.75,1420.26,-13.97,13.16,317.71,-251.43,26.94,20.19,8,Medium,18028.86,375.16
75.27,15,0.15,USA,-11.37,1268.5,1554.26,-9.42,8.7,292.71,-350.16,24.33,25.41,10,High,41075.14,2617.07
80.95,15,55.68,Europe,7.8,1551.28,1048.56,-7.17,2.9,259,-293.25,7.11,13.79,12,High,-9914,0
82.43,12,8.79,Rest,3.09,1275.61,2205.46,-11.26,31.84,240.83,-493.11,8.73,21.95,6,Low,34888.74,1342.36
109.8,12,38.58,Rest,-12.21,1807.17,1832.02,-15.33,4.2,295.98,-478.08,9.96,14.08,8,High,17853.92,148.54
120.69,6,11.22,UK,2.07,1345.92,476.04,-6.33,3.84,251.21,-210.15,6.33,15.95,6,Low,26196.78,0
94.45,9,6.51,Rest,8.1,980.84,805.96,-5.91,9.02,222.82,-294.96,10.32,21.33,4,Medium,12453.1,357.82
130.51,18,8.52,Rest,-9.42,1221.03,1564.34,-12.16,11.94,288.43,-471.39,24.51,21.27,4,Low,22529.76,646.91
109.56,12,6.24,UK,-8.61,1091.03,1303.36,-12.31,3.26,291.25,-369.42,3.57,18.92,6,Very low,32206.3,0
78.57,18,128.55,USA,-9.87,2015.86,1292.06,-11.67,3.38,242.75,-373.77,9.6,23.65,8,High,17231.76,0
65.9,15,0.42,UK,-23.34,2022.49,1157.14,-11.9,6.94,335.12,-323.82,4.83,15.18,6,Very low,23871.92,0
85.7,18,1.62,USA,-0,1223.6,110.96,-6.01,2.28,274.08,-449.28,3.54,22.33,2,High,17620.98,789.66
81.6,15,0.63,UK,-20.28,1580.33,1221.96,-10.93,8.06,311.29,-368.79,9.12,29.22,6,High,-10638.78,291.94
92.68,12,1000.38,USA,-14.49,980.57,533.06,-12.64,5.88,240.12,-329.28,7.59,18.06,8,High,16106.28,2006.96
85.32,9,0.06,UK,1.14,1325.27,1113.7,-9.05,20.7,287.29,-524.01,1.11,24.35,6,Very high,23113.84,2539.37
109.62,6,0.57,Rest,-17.46,1386.57,1446.82,-19.16,4.16,293.92,-246.93,18.27,24.38,18,Low,17622.92,327.45
90.36,9,51.09,UK,-15.12,1704.64,1213.38,-8.25,12.96,229.93,-500.34,7.62,19.64,8,High,21296.2,1621.01
89.73,6,11.61,USA,-7.92,1520.46,1526.96,-14.11,10.42,232.9,-280.05,4.56,19.49,12,Medium,34443.64,304.96
102.92,21,7.74,USA,6.72,1508.13,-265.06,-11.48,10.38,326.03,-348.09,0.54,28.09,8,Medium,14052.98,701.35
93.21,9,262.56,UK,6.99,1506.03,2291.5,-13.93,4.04,237.72,-395.64,38.25,20.34,6,Medium,24468.38,908.4
109.34,12,5.55,Rest,0.69,1385.82,1266.56,-10.55,15.14,279.51,-270.42,17.7,19.76,12,Very high,17399.66,831.34
76.3,12,0.69,UK,-2.07,1253.56,1381.84,-9,7.12,240.24,-288.54,15.78,21.04,10,Very low,19804.6,171.5
102.34,9,7.92,Rest,-12.9,1465.14,1533.24,-12.1,1.2,233.41,-376.89,15.42,19.48,16,Medium,18121.06,389.91
10.7,9,0.66,Europe,-3.12,772.47,3040.38,-11.2,12.4,272.78,-409.38,4.14,20.7,16,Low,8900.16,1364.19
116.14,6,1.71,UK,4.2,1721.58,1231.8,-9.42,2.74,384.16,-201.36,16.53,20.16,14,Very low,10783.22,0
57.16,9,3.39,Europe,-10.26,1017.9,508.74,-16.27,5.36,266.25,-520.17,4.89,17.61,0,High,25321.78,2352.22
106.26,9,0.6,Europe,0.63,1701.47,770.34,-7.63,5.2,282,-452.1,31.02,24.11,10,Very high,14182.82,2864.29
92.62,12,0.99,UK,-8.19,1119.98,670.64,-13.89,3.82,161.34,-395.73,33.78,18.86,10,High,14590.26,2364.45
66.26,6,21,USA,-11.13,1648.58,1345.04,-12.45,4.08,275.71,-150.87,2.97,23.56,6,High,18319.76,0
91.71,12,4.74,UK,-8.73,1222.1,434.02,-9.73,15.32,249.67,-364.89,26.88,21.51,6,High,10220.02,2505.65
87.42,9,0.39,Europe,2.28,867.85,1786.68,-10.13,9.38,304.93,-375.18,5.04,21.33,2,Very low,13234.14,0
55.88,21,0.39,Rest,-3.12,1784.47,987.12,-9.55,5.76,277.98,-235.77,7.95,33.65,6,Very high,13782.22,0
-25.55,3,0.06,Europe,-6.18,763.58,611.84,-2.99,4.78,280.42,-287.01,13.53,20.83,10,Medium,-1311.84,2433.17
53.34,12,14.61,Europe,1.14,1239.42,1331.58,-9.06,13.14,277.33,-395.31,19.44,16.43,6,High,12739.28,2438.09
141.39,9,0.75,Europe,2.31,1038.45,1085.8,-10.38,2.58,270.71,-397.05,19.14,20.06,8,Low,2369.44,1742.65
126.33,15,0,USA,-13.38,1452.17,719.06,-13.5,3.74,278.1,-300.39,13.71,20.58,2,Very high,15301.54,86.63
61.78,6,1.5,Europe,5.67,870.4,2250.32,-7.09,10.26,237.46,-363.78,12.42,30.33,8,Very low,40598.88,749.75
118.52,18,0.09,Rest,-1.62,1331.22,1259.06,-11.31,11.88,279.06,-244.98,7.23,19.38,8,Very low,10995.98,0
108.94,15,0,USA,-0.87,1161.81,475.72,-9.22,0.6,327.11,-497.46,1.89,21.54,10,Low,17171.28,1611.64
115.38,9,21.87,Rest,-4.44,1850.75,951.06,-12.08,10.68,276.89,-236.58,14.58,20.04,6,Very low,14885.12,0
49.11,12,0.45,USA,-8.28,1269.62,1745.16,-10.25,6.1,317.13,-190.44,21.75,20.31,4,Very low,9054.82,0
68.96,9,0.03,Rest,-11.1,1493.14,633.74,-6.23,4.98,344.15,-298.68,3.6,11.27,2,Medium,18240.52,0
71.32,15,3.24,Rest,-17.19,1570.87,886.92,-17.63,12.68,272.52,-264.57,19.65,21.12,6,Very high,24185.92,417.29
92.14,12,71.49,USA,-1.68,1479.37,1051.2,-12.2,4.02,279.23,-256.23,17.46,20.63,0,Low,3758.28,0
54.24,18,0.06,USA,-8.94,1251.26,892.66,-10.09,24.86,278.77,-191.55,5.49,23.42,8,Low,17211.42,662.8
105.66,9,663.09,USA,-2.37,1806.63,785.84,-7.26,7.92,252.9,-272.79,19.08,18.34,16,High,21830.32,2408.7
108.95,15,15.3,USA,1.77,580.16,1565.94,-7.16,7.86,257.29,-322.47,6.09,22.25,10,High,12829.6,1473.57
86.95,21,7.2,Rest,-19.29,1173.17,1337.46,-14.65,9.2,258.06,-248.34,1.2,19.66,14,Very low,17265.64,0
73.13,6,0.51,USA,10.62,1507.44,898.56,-14.45,15.5,308.64,-336.54,2.49,20.56,10,Very high,15178.74,3195.71
106.9,9,594.36,Rest,15.78,1363.84,1662.64,-11.35,13.92,266.31,-251.97,8.25,20.79,16,Medium,22964.54,355.64
58.42,9,0.42,UK,-4.74,1323.87,1133.88,-10.46,11.08,269.92,-362.97,7.35,18.07,10,Medium,16269.88,1107.65
144.87,6,0.06,Europe,3.87,925.36,1515.5,-15.61,12.8,259.31,-462.06,16.65,20.05,4,High,11828.24,2816.9
71.74,0,0.03,USA,-4.17,1140.85,278.52,-3.88,7.2,256.9,-434.49,12.33,12.35,8,Very low,14285.58,3656.19
74.6,15,0.27,USA,-10.17,1663.53,1557.84,-9.99,11.74,258.91,-208.17,2.91,12.55,10,Very high,26132.62,0
86.96,9,5.67,Europe,17.88,1448.63,341.66,-15.33,1.56,264.56,-403.62,10.68,21.71,10,High,-8617.72,1986.75
49.18,9,38.73,Rest,-3.87,880.54,831.8,-16.51,5.86,208.11,-413.13,15.75,21.92,12,High,34136.4,1372.08
60.36,21,0.03,Rest,-13.47,786.22,778.4,-10.43,5.68,268.31,-401.07,35.01,21.3,4,Very high,29538.82,1303.57
141.69,3,86.67,Europe,-0.63,1358.19,868.04,-5.32,9.78,364.69,-151.17,7.47,19.96,8,Low,19173.64,0
114.25,9,2.64,Europe,1.05,1402.32,1391.8,-9.72,13.02,251.49,-263.88,10.47,17.86,10,Very high,39653.12,1385.75
109.79,12,0.12,USA,-7.65,898.26,1480.24,-11.94,4.64,265.65,-552.96,6.66,18.67,6,High,18346.14,3238.52
53.13,12,0.12,Rest,10.56,1631.7,675.84,-16.48,5.08,266.98,-389.31,4.74,15.71,8,Medium,18339.64,174.76
88.4,15,0.75,Rest,6.96,1062.82,859.56,-10.81,3.78,309.78,-249.93,7.53,13.83,8,Very high,12112.3,117.98
102.43,12,2.46,Rest,2.52,2003.19,2374.9,-12.63,6.88,266.46,-300.54,4.23,17.25,10,Very low,16378.74,0
51.9,18,0.3,UK,-2.91,821.97,1303.36,-10.18,15.72,284.34,-489.27,8.88,20.12,6,High,8796.88,2018.38
63.91,12,0.3,Rest,4.23,739.15,1816.3,-10.06,8.02,249.64,-500.55,2.82,15.62,10,Low,26351.88,639.53
109.1,12,0.09,Rest,-12.12,1979.94,1376.92,-11.1,5.72,275.1,-279.54,7.35,20.04,10,High,24727.14,0
73.15,12,0.3,USA,1.29,1768.47,1073.56,-8.85,5.86,325.21,-355.74,20.76,22.81,8,High,23713.98,1172.01
73.09,12,0.84,Europe,-7.59,1281.07,2223.86,-0.43,3.14,133.11,-313.41,8.49,21.3,10,Low,17769.82,0
59.73,12,0.6,UK,1.74,1129.62,1083.76,-12.72,13.18,297.57,-389.91,0.54,19.77,12,High,20184.86,1495.24
133.38,21,0.42,Europe,-9.36,1296.09,1134.68,-11.26,5.14,344.17,-213.06,20.55,15.43,4,High,16961.78,0
51.68,15,0.3,Europe,-1.29,915.93,1096.54,-15.66,8.24,249.27,-281.01,2.01,22.39,4,Very high,17308.66,0
109.72,3,18.15,USA,-0,1344.97,906,-3.8,10.26,283.7,-544.23,10.02,20.18,10,High,25063.82,3779.05
69.36,9,0.15,USA,-2.31,1446,1554.28,-8.01,22.22,221.51,-410.19,0.42,20.44,6,Very high,13541.6,3280.59
110.71,9,77.61,Rest,-11.46,1222.21,883.54,-7.31,10.26,309,-362.1,13.89,20.55,6,Very low,9751.72,419.97
59.55,9,452.01,Europe,-13.83,1345.78,756.24,-12.99,11.72,255.65,-366,24.36,20.11,6,Very low,11659.12,2184.74
70.44,15,9.51,UK,-18.78,1464.06,889.78,-6.9,6.58,279.56,-300.36,8.16,20.38,6,Low,-6720.22,0
93.22,15,19.86,USA,1.38,1187.13,1284.52,-6.76,1.9,271.22,-377.22,13.35,10.21,10,Very low,13739.78,73.27
128.14,15,0.03,USA,3.27,1331.72,718.28,-7.88,11.72,242.37,-526.41,12.63,8.75,6,Low,13814.44,3460.24
89.63,6,84.99,Europe,-8.28,1345.71,1078.92,-11.7,22.26,268.59,-285.24,13.68,21.99,8,Very low,18474.56,2175.35
120.73,21,2.79,Europe,-0.15,1485.02,1230.34,-3.57,11.58,255.15,-436.71,1.35,20.28,10,Very high,19652.28,1096.66
116.82,18,15.75,Rest,-13.14,1335.89,1278.64,-14.96,5.62,284.96,-194.16,24.48,20.48,10,Very low,33214.3,0
90.67,9,0.81,Rest,-10.02,2000.45,1392.38,-13.76,3.7,278.89,-430.2,10.47,26.8,8,Low,26935.4,7.3
60.51,9,0.75,Europe,-4.8,1538.35,1268.02,-5.7,10.78,236.85,-391.2,7.95,26.67,0,Medium,15252.68,0
62.93,18,15.48,UK,-13.32,1049.76,1920.36,-11.06,16.88,283.27,-393.99,10.35,13.18,0,Very low,16176.42,80.82
77.46,6,4.44,USA,-10.26,1334.58,716.94,-11.28,4.86,291.4,-375.33,3.45,23.38,6,Low,43175.34,487.88
163.1,9,0.12,Europe,3.6,1396.63,2331.48,-14.37,11.72,323.17,-380.82,26.94,19.33,6,Very high,12254.82,2156.31
67.95,18,0.36,USA,-10.53,1315.39,1907.1,-7.4,6.56,276.96,-460.17,5.7,20.5,6,Very high,16294.42,400.18
83.81,21,10.62,UK,-5.55,1323.59,887.7,-9.73,5.92,331.82,-418.98,29.97,15.48,4,Very low,26172.82,737.1
90.74,6,3.57,USA,-5.79,1126.63,2010.46,-11.27,4.82,358.24,-368.58,20.19,19.94,10,Very high,18963.02,2870.06
63.38,15,13.44,UK,-1.26,1108.3,-54.58,-9.13,7.38,173.86,-383.76,9.75,17.81,6,Very high,18119.48,1699.59
64.78,15,1.41,Rest,-23.37,1814.12,2303.8,-14.14,6,372.69,-116.73,10.68,20.05,8,Medium,29095.52,0
111.17,9,31.11,Europe,-3.87,1197.03,1745.8,-8.47,5.22,245.86,-291.87,12.69,23.87,6,Medium,15479.02,0
94.1,6,722.85,UK,-10.83,1716.03,1378.3,-9.7,5.02,280.09,-314.19,7.83,13.59,12,Very low,22324.78,0
67.71,21,0.75,USA,10.68,1104.37,508.3,-11.44,20.52,292.31,-446.43,19.56,20.5,8,Very high,31507.7,3789.63
103.69,18,0.27,Europe,-6.57,1606.41,364.32,-8.34,12.24,273.04,-391.77,4.68,21.46,12,Very low,22180.24,964.26
47.46,9,7.74,Rest,-5.76,1926.95,1339.96,-8.44,11.8,333.35,-282.54,8.88,25.1,8,Very high,6593.98,133.18
85.84,12,18.54,USA,-0.42,1595.29,1194.88,-5.41,5.02,255.02,-415.53,8.16,16.21,8,Very low,5593.16,10.82
103.08,6,107.52,USA,-5.73,1731.93,935,-5.1,6.54,241.65,-370.8,8.07,23.94,4,Very low,17434.92,0
117.12,12,54.33,Europe,-25.38,1624.74,393.26,-9.02,6.74,246.33,-452.25,3.6,22.99,2,Very low,15808.7,0
84.16,21,0.45,Rest,5.61,1089.95,1016.38,-14.74,2.9,203.26,-391.53,6.69,19.92,6,High,11088.82,94.21
122.07,6,0.48,USA,1.77,1351.23,1337.92,-10.86,13.1,303.46,-272.1,11.37,23.77,4,Very high,-2366.12,1454.05
74,15,16.08,USA,-20.04,1316.65,1987.14,-11.96,2.9,314.01,-442.86,7.83,22.54,6,Very low,14227.02,0
87.82,12,0.93,USA,0.27,1092.4,643.26,-18,13.94,276.55,-353.46,3.57,22.5,10,Low,18600.04,2624.78
80.05,27,0.54,UK,-4.77,1108.97,1244.8,-10.84,3.9,320.22,-228.84,25.65,19.18,4,Very low,11478.84,0
63.85,15,3.6,Rest,-7.44,1082.98,1969.08,-9.97,1.46,305.61,-346.86,7.65,16.33,8,Very low,21393.54,0
88.14,27,2.22,Rest,-6.69,1621.22,461.28,-17.5,4.64,225.02,-340.95,46.65,21.66,6,Very low,11336.1,345.92
107.42,12,1.02,USA,-17.04,1127.3,465.56,-12.68,13.78,263.52,-257.13,2.58,22.23,6,High,19020.04,1365.78
64.95,9,0.81,UK,-7.29,1703.33,2094.34,-10.38,2.64,248.24,-249.54,12.6,25.93,6,Medium,16916.02,0
69.22,6,0.03,UK,-26.76,1659.6,-546.52,-7.46,18.22,281.03,-308.07,9.09,23.13,0,Very low,24423.52,1204.66
113,9,213.72,Europe,2.43,1553.19,1692.8,-9.14,6.88,286.27,-584.7,10.2,15.66,2,High,12266.28,1791.65
34.37,6,1.26,USA,-19.95,1792.22,2236.28,-5.34,9.54,251.52,-449.67,18.69,17.54,6,Very low,24544.12,357.9
120.05,15,6.33,Rest,4.65,1627.61,1489.16,-9.58,25.04,267.47,-295.44,8.97,16.84,6,High,26459.34,439.15
60.44,12,0.09,Europe,-11.4,1451.39,1229.34,-13.43,6.68,249.25,-543.06,9.09,24.27,2,High,27722.28,1750.53
57.12,0,1152.72,UK,-5.01,1223.37,1613.42,-13.14,8.44,206.94,-430.59,15.93,19.03,10,High,17383.8,2041.66
129.92,24,20.1,USA,-13.11,1303.45,1243.5,-13.06,8.76,289.06,-304.71,12.96,21.92,12,High,26504.78,310.13
92.35,9,956.94,USA,10.05,1490.71,542.76,-11.35,9.64,276.38,-271.86,12.81,19.07,4,High,18667.2,831.68
82.23,9,0.33,Europe,-6.54,1364.84,897.74,-10.6,1.92,332.43,-259.47,15.39,19.77,12,Very low,-2250.8,0
126.26,6,0.57,USA,-11.49,1603.1,1437.28,-10.42,7.76,224.01,-382.59,9.18,20.66,2,Medium,28177.06,143.47
50.31,9,0.54,Rest,1.05,712.24,2251.34,-9.49,25.88,286.83,-385.59,20.1,24.63,12,High,40225.34,2131.02
104.58,12,1.41,USA,3.51,1122.39,1067.54,-10.59,9.18,279.95,-343.08,3.81,23.11,12,Low,17155.54,1087.13
104.16,9,1.65,Europe,-1.35,1356.45,1167.14,-12.46,9.42,259.17,-264.12,7.92,15.37,2,Low,18046.36,0
